"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
-4.26687153,-5.126093397,-4.405010259,-4.126818447,-2.744964409,-5.954121626,-3.880692779,-4.454016897,-0.299727596,-1.483530517,-4.136367222,-2.838725182,-8.197345296,-5.950263342,-5.450063695,-6.369573434,-2.436440354,-5.782515122,-4.534221118,-5.050638611,-4.124541334,-5.234698088,-3.691851339,-6.844982764,-9.010370153,-2.458193443,-1.870420578,-2.32409848,-0.017765839,1.291872954
-1.161931163,-0.472298785,-1.870060718,-0.14915512,-2.090267349,-1.334312245,-1.487162734,-1.355349671,-2.656540775,-1.744823041,1.858734402,-0.998011706,-1.985862826,-0.48683173,-1.364245692,-0.887754504,-0.694919965,1.477323359,-1.204024756,0.514757717,-0.666349334,-2.617922051,0.506293921,-0.622261349,-0.502069487,0.124889214,-1.468651532,0.496089922,0.548386282,-11.861707661
-1.879491031,-1.023862494,-0.952449641,-2.250381242,-1.346504126,-3.148439384,-2.464360705,-2.482359698,-0.514709065,-1.179133856,-0.125261439,-1.362900272,-0.756908153,-2.767367092,-1.857290596,-1.828269216,-4.462272414,-3.465286714,-1.227061329,-2.810811404,-0.97427155,-2.572068309,-0.015057949,-1.936090987,-2.790603393,0.131021122,-1.34082522,0.268125948,0.728653952,-3.469427189
-2.760982044,-1.29140814,-1.080042838,-1.957421991,-1.1088622,-3.510697951,-2.3349271,-2.643443023,-0.301890802,-1.564157047,-0.772959499,-1.781217083,-1.879448152,-3.446957792,-2.541978223,-2.248017439,-4.931566299,-4.524279256,-1.512875624,-3.473100055,-1.367525787,-1.921980778,-0.717542242,-2.376812227,-3.033177582,0.200747568,-0.774425734,0.268984444,0.014675988,-0.948483653
-3.290739582,-2.811000984,-2.968024511,-2.912861216,-2.498785293,-4.824754831,-3.372249186,-3.806974661,-2.355517865,-1.62564214,-2.25507655,-2.953369536,-5.158382586,-3.989899854,-3.722854584,-3.197635868,-3.995099623,-3.632651702,-2.670558508,-3.688179803,-2.082730146,-4.088616388,-1.361672906,-2.936726801,-3.601423712,-2.867796947,-2.527340029,-1.726525362,-1.35562772,-5.998783542
-3.649735161,-4.090660686,-3.936517261,-2.817999356,-2.999334682,-5.010144992,-3.268667671,-3.647373392,-2.262946857,-2.478246561,-2.472641003,-3.030076776,-7.08994939,-4.004780544,-3.886077356,-3.869074349,-2.747463732,-2.258708429,-2.595590961,-3.212486832,-3.000453248,-5.01758385,-1.831336783,-3.781599096,-4.215559661,-4.211510028,-3.413951908,-2.835671753,-1.297939226,-7.858612395
0.896724724,0.514325513,0.690849966,-0.080421599,0.975872488,0.643165315,0.313826821,1.202825172,0.415324288,0.611845951,-1.610186035,0.453183624,-0.242545627,-0.212915751,-0.087009956,0.568375787,-2.835707943,-2.36963345,-0.354192444,-0.628319676,-0.331546528,-1.131353771,-0.218015232,-0.440222124,-0.159765104,0.4939936,-1.480118772,-0.460855633,-0.672813937,-2.363145172
1.474587811,-1.364213656,-2.878745179,-1.752643496,-1.576921801,-1.417399852,-2.131811311,-2.911416936,-2.265434125,0.730008335,0.69983711,-1.215787725,0.599195619,-2.656001676,-1.346454031,-0.228734842,-0.54247625,-4.800069464,-2.701688631,-2.981495062,0.149362787,-0.641840445,-1.955618321,-2.559272864,-5.979813891,-0.794373448,0.595112499,-0.298367624,-1.008260635,0.364717756
-4.832436804,-3.87732238,-3.606054587,-4.097714259,-3.520200007,-7.42885948,-4.768315105,-5.869381324,-3.320529633,-1.249881268,-2.721293233,-3.983067432,-5.324567463,-5.074625141,-5.197712186,-4.080588368,-3.425594867,-4.208483537,-4.014172804,-4.425221614,-2.351028103,-3.821027554,-2.636702656,-4.575446817,-6.519260299,-2.939009885,-2.406777267,-0.956108288,-2.868198243,-3.906008965
-2.846680538,-3.669697745,-3.122067449,-2.489409765,-1.928566728,-3.650823922,-2.892158357,-2.996499286,-2.597086345,-1.025583111,-3.227141764,-2.750825742,-6.96733216,-3.839944589,-4.178681773,-3.26957543,-0.962649572,-2.546541204,-3.369948199,-3.429053008,-3.276842022,-3.731737731,-1.817558756,-4.949270362,-4.816311872,-3.69370683,-2.814803969,-2.551735672,-3.01639396,-2.508823044
