"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
-3.314010426,-4.344059362,-4.473353071,-3.589133714,-2.448362788,-4.968803072,-3.520749751,-4.237092315,-2.707189682,-1.855563692,-3.694833183,-3.704936811,-6.537106789,-4.682885759,-2.825904025,-3.362072182,-3.181000974,-4.669692403,-3.736843228,-3.877456811,-2.965165737,-7.210596714,-3.540731463,-3.799859638,-6.355830685,-3.950668006,-4.468619587,-3.671276641,-3.709591038,-5.145153448
-2.226016228,-3.74270706,-3.461082766,-2.563898794,-2.980859786,-4.810385379,-2.864259374,-3.761805018,-2.579445853,-0.985138818,-1.50225721,-2.135919926,-2.975472867,-2.88153759,-2.472891351,-2.786821055,-1.483879696,-2.568976353,-2.694467912,-2.272803463,-2.509929032,-3.679627121,-2.688891768,-4.218752092,-6.57510365,-2.612040432,-2.60874983,-1.738717926,-2.54367176,-3.741846889
-3.971596542,-4.487624423,-4.855596352,-2.974780679,-2.96076171,-5.150608017,-3.658763768,-4.900916153,-3.66989774,-2.480437874,-4.573839769,-3.919782731,-6.102142253,-6.428516297,-4.034038719,-4.302759176,-6.450947113,-8.117533868,-4.347556661,-6.254050512,-1.89701251,-5.909329196,-2.852361384,-2.741854274,-5.119032172,-2.157146612,-2.827714219,-2.406815016,-3.307711527,-4.354487736
-4.835324844,-4.882244015,-3.036478205,-3.175872411,-1.609763188,-2.904322126,-2.666982433,-2.714490389,-1.511760479,-1.083290489,-4.48911614,-2.7494897,-7.867479691,-3.160924136,-3.33588121,-1.667434704,-4.785108604,-4.180036699,-2.190699057,-3.403693063,-5.855287814,-6.591767571,-1.22695297,-3.782384965,-1.834231088,-6.43631277,-6.446739578,-5.683712324,-3.943947773,-5.539366217
-2.078598312,-1.858221135,-2.380693677,-1.331715042,-1.439877987,-2.440996334,-1.745713195,-1.789368125,-1.356661663,-0.662949987,-1.363006253,-1.933246231,-3.495573393,-3.26507504,-3.466558123,-2.19939065,-3.89251662,-4.447945502,-2.666739106,-3.015970067,-2.202539712,-2.499196085,-1.407306261,-2.938054554,-2.846042933,-1.746940369,-1.732529183,-1.879795931,-1.446464687,-3.886764644
-2.753523508,-2.929163405,-2.333171634,-2.026727871,-2.093239204,-3.242295085,-2.128032672,-2.425020896,-2.109786095,-1.010660763,-1.473778333,-1.859498321,-2.707202922,-2.087710322,-1.964623339,-1.417014317,-2.358434959,-2.515595862,-1.495170717,-1.918362863,-1.959166183,-2.960686369,-2.613437364,-3.400778944,-3.778189817,-2.546671759,-2.502222974,-1.361099582,-2.511914187,-4.147460781
-1.833294488,-2.02347594,-1.693345737,-1.774475766,-1.718409154,-1.939004471,-1.927594244,-1.74661169,-2.339649775,-1.394965887,-0.665904668,-0.739617268,-0.011955318,-2.423324037,-2.076608339,-1.095946547,-3.863896935,-3.902218467,-1.738957212,-2.515982899,-0.397782223,-1.143316192,-1.2577544,-0.787731646,-1.675251736,-0.283564404,-0.883269141,-0.287249891,-2.166834017,-2.733234581
-0.911528377,-3.05305554,-1.628907585,-1.365531577,-2.301730585,-2.584430839,-1.713629473,-2.371243503,-0.745702076,-2.019979217,-1.030926615,-1.198659522,-1.515683787,-2.525028723,-1.502566716,-2.786858795,-3.463268129,-4.37756373,-1.2990118,-2.640580164,-2.275686447,-4.007573663,-1.527434016,-2.257033128,-2.077010583,-1.349406662,-2.037601441,-1.600346572,-1.593264286,-2.022898531
-2.128132203,-2.975080307,-2.902296876,-2.069281915,-1.796534811,-2.840200204,-2.20826019,-2.462804049,-1.917120707,-1.186857442,-2.45638868,-2.735186786,-5.145250879,-3.600352366,-3.590963368,-2.902592155,-3.066275857,-4.602683062,-2.980496497,-3.256062843,-2.336054466,-4.430657283,-2.071762745,-3.976664315,-4.159595285,-2.252770294,-2.965168299,-2.325415958,-2.392966579,-3.856252413
-4.958158975,-3.845181517,-1.820897037,-2.247088188,-1.814145221,-2.322042052,-2.125746397,-1.879216767,-1.016524317,-1.524512171,-2.838767337,-1.322753102,-4.700322829,-3.491875263,-3.572994343,-2.085190885,-7.61094484,-5.577199287,-1.685212061,-4.373118422,-2.285422215,-2.533322335,0.053648885,-1.333096351,-0.89553746,-2.094132013,-3.025831687,-1.713797961,-1.830384641,-4.003870615
